"","Date","mean","sd","se","Site","group"
"1","18-Apr",-58,0,0,"CW","Redox potential"
"2","18-Aug",537,0,0,"CW","Redox potential"
"3","18-Dec",-31,0,0,"CW","Redox potential"
"4","18-Jun",-116,0,0,"CW","Redox potential"
"5","18-Oct",568,0,0,"CW","Redox potential"
"6","19-Feb",134,0,0,"CW","Redox potential"
"7","18-Apr",14,0,0,"PW","Redox potential"
"8","18-Aug",527,0,0,"PW","Redox potential"
"9","18-Dec",252,0,0,"PW","Redox potential"
"10","18-Jun",304,0,0,"PW","Redox potential"
"11","18-Oct",449,0,0,"PW","Redox potential"
"12","19-Feb",286,0,0,"PW","Redox potential"
